function,depth,seed,init_mode,snapped,final_loss,snappability,nan_epoch,converged,symbolic_form,expected_depth,post_snap_loss,valid_snap
exp,3,4,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,5,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,6,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,7,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,8,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,9,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,10,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,11,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,0,curriculum,1,38.00714111328125,1.0,-1,0,"eml(eml(x,1),eml(1,1))",2,69.51620483398438,0
exp,3,1,curriculum,1,39.01234436035156,1.0,-1,0,"eml(eml(x,1),eml(1,1))",2,69.51620483398438,0
exp,3,2,curriculum,1,34.96476364135742,1.0,-1,0,"eml(eml(x,1),eml(1,1))",2,69.51620483398438,0
exp,3,3,curriculum,1,34.78861999511719,1.0,-1,0,"eml(eml(x,1),eml(1,1))",2,69.51620483398438,0
exp,3,4,curriculum,1,35.88594055175781,1.0,-1,0,"eml(eml(x,1),eml(1,1))",2,69.51620483398438,0
exp,3,5,curriculum,1,36.204261779785156,1.0,-1,0,"eml(eml(x,1),eml(1,x))",2,69.46802520751953,0
exp,3,6,curriculum,1,37.766334533691406,1.0,-1,0,"eml(eml(x,1),eml(1,1))",2,69.51620483398438,0
exp,3,7,curriculum,1,36.35467529296875,1.0,-1,0,"eml(eml(x,1),eml(1,x))",2,69.46802520751953,0
exp,3,8,curriculum,1,36.3921012878418,1.0,-1,0,"eml(eml(x,1),eml(1,1))",2,69.51620483398438,0
exp,3,9,curriculum,1,35.033599853515625,1.0,-1,0,"eml(eml(x,1),eml(1,1))",2,69.51620483398438,0
exp,3,10,curriculum,1,32.546836853027344,1.0,-1,0,"eml(eml(x,1),eml(1,x))",2,69.46802520751953,0
exp,3,11,curriculum,1,35.760986328125,1.0,-1,0,"eml(eml(x,1),eml(1,1))",2,69.51620483398438,0
exp,3,0,blind,1,0.10395939648151398,1.0,-1,0,"eml(1,eml(1,1))",2,1.5039230585098267,0
exp,3,1,blind,1,0.08622331917285919,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,2,blind,1,0.16435275971889496,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,3,blind,1,0.13109637796878815,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,4,blind,1,0.31026557087898254,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,3,5,blind,1,0.1630629301071167,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,6,blind,1,0.16862551867961884,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,7,blind,1,0.09947729855775833,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,8,blind,1,0.08659964799880981,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,9,blind,1,0.07244908809661865,1.0,-1,0,"eml(x,eml(1,x))",2,1.0600560903549194,0
exp,3,10,blind,1,0.16732314229011536,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,11,blind,1,0.10421880334615707,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
