function,depth,seed,snapped,final_loss,snappability,nan_epoch,converged,symbolic_form,expected_depth,post_snap_loss,valid_snap
exp,5,12,1,0.0004367979709059,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,13,1,0.20175684988498688,1.0,-1,0,"eml(x,eml(1,eml(eml(x,1),1)))",2,0.7919119596481323,0
exp,5,14,1,0.23960404098033905,1.0,-1,1,"eml(1,eml(1,eml(x,x)))",2,1.2720927000045776,0
exp,5,15,1,0.1619798243045807,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999998807907104,0
exp,5,16,1,0.16391150653362274,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999998807907104,0
exp,5,17,1,0.00016697065439075232,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,18,1,0.012228939682245255,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,19,1,0.02762547694146633,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
ln,2,0,1,0.8462015986442566,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,1,1,0.8462018370628357,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,2,1,0.8462015986442566,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,3,1,0.8462018370628357,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,4,1,0.8462015986442566,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,5,1,0.8462019562721252,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,6,1,0.8462018370628357,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,7,1,0.8462023138999939,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,8,1,0.8462015390396118,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,9,1,0.84620201587677,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,10,1,0.8462015390396118,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,11,1,0.8462019562721252,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,12,1,0.8462015986442566,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,13,1,0.8462015390396118,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,14,1,0.8462016582489014,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,15,1,0.8462018370628357,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,16,1,0.8462016582489014,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,17,1,0.8462020754814148,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,18,1,0.8462017774581909,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,2,19,1,0.8462017178535461,1.0,-1,1,"eml(1,x)",4,1.3907814025878906,0
ln,3,0,1,0.7357778549194336,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,1,1,0.7378602027893066,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,2,1,0.7369648814201355,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,3,1,0.7361845970153809,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,4,1,0.7364615201950073,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,5,1,0.7343842387199402,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,6,1,0.7419905662536621,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,7,1,0.7381736040115356,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,8,1,0.6690119504928589,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,3,9,1,0.7351358532905579,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,10,1,0.7361647486686707,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,11,1,0.6690117716789246,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,3,12,1,0.7344740629196167,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,13,1,0.7344576120376587,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,14,1,0.7350380420684814,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,15,1,0.736081600189209,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,16,1,0.6690123081207275,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,3,17,1,0.7365211844444275,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,3,18,1,0.6690114736557007,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,3,19,1,0.7354992032051086,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0
ln,4,0,1,0.00034747287281788886,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,1,1,6.350834155455232e-06,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,2,1,1.088861608877778e-06,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,3,1,0.17776846885681152,1.0,-1,1,"eml(1,eml(eml(1,1),x))",4,1.3871482610702515,0
ln,4,4,1,2.64152477029711e-05,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,5,1,4.182220436632633e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,6,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,7,1,1.5567638911306858e-07,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,8,1,1.025910023599863e-07,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,9,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,10,1,1.4930556062608957e-06,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,11,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,12,1,1.1903757695108652e-06,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,13,1,6.213376764208078e-07,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,14,1,5.396283813752234e-05,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,15,1,0.16993947327136993,1.0,-1,1,"eml(1,eml(eml(1,1),x))",4,1.3871482610702515,0
ln,4,16,1,0.0009002603474073112,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,17,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,18,1,0.00024980134912766516,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,4,19,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1
ln,5,0,1,0.29001522064208984,1.0,-1,1,"eml(1,eml(eml(1,x),x))",4,0.9747210741043091,0
ln,5,1,1,0.4227200150489807,1.0,-1,1,"eml(1,eml(1,x))",4,1.2469897270202637,0
